Idx	AddrHex	AddrDec	Hex	Byte_1	Byte_2	UInt16	Int16	Chr	Bin
71	0x0047	71	80 01	128	1	32769	-32767		1000 0000 0000 0001
72	0x0048	72	00 D3	0	211	211	211		0000 0000 1101 0011
73	0x0049	73	01 37	1	55	311	311		0000 0001 0011 0111
74	0x004a	74	D6 E2	214	226	55010	-10526		1101 0110 1110 0010
75	0x004b	75	00 13	0	19	19	19		0000 0000 0001 0011
76	0x004c	76	30 3B	48	59	12347	12347	0;	0011 0000 0011 1011
78	0x004e	78	04 D2	4	210	1234	1234		0000 0100 1101 0010
79	0x004f	79	27 10	39	16	10000	10000		0010 0111 0001 0000
80	0x0050	80	0B 5E	11	94	2910	2910		0000 1011 0101 1110
81	0x0051	81	27 10	39	16	10000	10000		0010 0111 0001 0000
83	0x0053	83	01 5E	1	94	350	350		0000 0001 0101 1110
84	0x0054	84	07 D0	7	208	2000	2000		0000 0111 1101 0000
87	0x0057	87	10 C9	16	201	4297	4297		0001 0000 1100 1001
88	0x0058	88	00 27	0	39	39	39		0000 0000 0010 0111
92	0x005c	92	10 C9	16	201	4297	4297		0001 0000 1100 1001
93	0x005d	93	01 3B	1	59	315	315		0000 0001 0011 1011
94	0x005e	94	00 22	0	34	34	34		0000 0000 0010 0010
99	0x0063	99	00 50	0	80	80	80		0000 0000 0101 0000
100	0x0064	100	01 46	1	70	326	326		0000 0001 0100 0110
101	0x0065	101	03 02	3	2	770	770		0000 0011 0000 0010
102	0x0066	102	00 59	0	89	89	89		0000 0000 0101 1001
103	0x0067	103	02 1B	2	27	539	539		0000 0010 0001 1011
104	0x0068	104	01 EA	1	234	490	490		0000 0001 1110 1010
105	0x0069	105	02 1B	2	27	539	539		0000 0010 0001 1011
106	0x006a	106	00 25	0	37	37	37		0000 0000 0010 0101
107	0x006b	107	1C 7B	28	123	7291	7291		0001 1100 0111 1011
108	0x006c	108	02 FC	2	252	764	764		0000 0010 1111 1100
109	0x006d	109	00 30	0	48	48	48		0000 0000 0011 0000
110	0x006e	110	00 33	0	51	51	51		0000 0000 0011 0011
111	0x006f	111	00 7D	0	125	125	125		0000 0000 0111 1101
112	0x0070	112	1B A8	27	168	7080	7080		0001 1011 1010 1000
